user,item,rating
9,14,1
6,10,0
7,11,0
7,10,1
1,12,1
5,18,1
3,15,1
2,12,0
9,17,1
0,19,1
9,11,1
5,17,0
9,11,1
0,13,0
7,13,1
1,13,0
5,11,0
0,18,1
8,14,1
0,14,1
7,12,1
9,10,0
1,17,0
1,15,0
7,10,0
0,17,0
0,10,0
5,14,0
4,11,1
1,10,0
8,16,0
0,18,1
3,19,0
0,12,1
4,10,0
0,19,1
3,19,0
0,14,0
5,12,1
9,14,0
0,19,0
1,12,1
3,15,1
3,14,1
7,17,1
8,18,0
8,12,1
1,17,0
6,19,0
2,13,1
2,15,1
7,18,0
3,12,0
3,10,1
7,17,1
3,16,0
1,19,0
6,10,1
5,11,0
4,10,0
8,19,0
8,17,1
0,11,0
2,19,0
3,17,1
4,15,0
9,15,1
1,10,1
7,10,1
8,17,0
9,11,0
3,10,1
0,12,0
8,11,0
5,17,0
9,18,1
5,12,1
6,14,0
0,19,1
2,17,1
2,14,1
5,13,0
0,15,1
5,11,1
1,12,0
5,15,0
6,14,0
3,12,0
6,11,1
0,10,0
4,19,1
6,18,0
6,10,0
5,18,0
8,11,1
9,15,0
4,18,1
0,10,0
2,12,1
1,13,1
